id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32229524,Chambre calme au cœur de la fête des Lumières,46824481,Nico,,1er Arrondissement,45.76874,4.82966,Private room,49,1,46,2020-10-07,1.36,1,1,0,
32236196,"Deux chambres, belles vues au calme Croix- rousse",227121910,Cécile,,4e Arrondissement,45.78117,4.83685,Private room,100,2,0,,,7,349,0,
32238443,Charmant T2 de 32m2 sous les toits,94624562,Nihed,,8e Arrondissement,45.72505,4.88168,Shared room,28,1,12,2019-05-05,0.35,1,0,0,
32250373,Chambre privée très calme sur Lyon 5,226835945,Françoise,,5e Arrondissement,45.75362,4.80008,Private room,59,1,10,2021-12-11,0.30,1,74,7,
32253785,Haven of peace with garden in the heart of Lyon,26300274,Lorraine Et Julien,,5e Arrondissement,45.75268,4.79813,Entire home/apt,250,3,18,2020-08-15,0.52,1,0,0,6938513014691
32279149,Chambre privée à proximité du centre-ville / métro,7845511,Amandine,,7e Arrondissement,45.74986,4.8478,Private room,32,1,125,2020-10-30,3.64,1,0,0,
32281596,NEW !⭐️HAMAC Suites III⭐️Lyon Ainay (hyper centre),28272076,Sebastien,,2e Arrondissement,45.75298,4.83144,Entire home/apt,130,3,31,2021-12-09,0.92,15,335,8,6938212679630
32283558,"T1 lumineux, proche presqu'île",56324942,Lou,,3e Arrondissement,45.74399,4.88703,Entire home/apt,26,365,0,,,1,0,0,
32298826,"Room, Betrom and breakfast, city",38913121,Brigitte,,9e Arrondissement,45.77514,4.80392,Private room,50,3,3,2019-07-09,0.09,3,69,0,
32300071,Appart bohème cœur de ville sur  le Vieux Lyon,41188850,William,,5e Arrondissement,45.76397,4.82518,Entire home/apt,143,2,12,2021-11-28,2.38,1,76,12,6938512948969
32311172,Appartement/atelier d’artiste,242557549,Florencia,,1er Arrondissement,45.76896,4.83405,Entire home/apt,80,2,21,2021-12-05,0.61,1,15,3,6938112705688
32321867,Appartement chaleureux Lyon - île Barbe,24359277,Eddy,,9e Arrondissement,45.79956,4.83172,Entire home/apt,60,365,0,,,1,0,0,
32323060,Nice duplex in Croix-Rousse,242668302,Grégory,,1er Arrondissement,45.77073,4.82753,Entire home/apt,69,365,16,2020-08-28,0.47,1,0,0,
